isocode,country,lnpcgdp2000,ln_export_area,ln_export_pop,colony0,colony1,colony2,colony3,colony4,colony5,colony6,colony7,abs_latitude,longitude,rain_min,humid_max,low_temp,ln_coastline_area,island_dum,islam,legor_fr,legor_uk,region_n,region_s,region_w,region_e,region_c,ln_avg_gold_pop,ln_avg_oil_pop,ln_avg_all_diamonds_pop,ln_pop_dens_1400,atlantic_dist,indian_dist,saharan_dist,red_sea_dist,ethnic_fractionalization,state_dev,land_area
"NAM","Namibia",8.24144,-1.465302,7.080479,0,0,0,0,0,0,1,0,24,17.21072,0,35,-4,.5923609,0,0,0,1,0,1,0,0,0,-.6370343,-9.21034,.2363898,-2.121291,5.682842,5.792154,5.980785,4.685066,.6329,.664,.824
"NER","Niger",6.22059,2.752292,9.695232,0,0,1,0,0,0,0,0,13,9.3731,0,68,8,-4.60517,0,90,1,0,0,0,1,0,0,-5.203685,-9.21034,-6.907755,-.586962,5.158515,9.223114,1.768215,2.953876,.6518,.582,1.27
"NGA","Nigeria",7.052721,7.690816,12.08837,0,1,0,0,0,0,0,0,9,8.10141,25,80,16,-.0799525,0,45,0,1,0,0,1,0,0,-11.85755,.1340378,-6.907755,1.821479,5.224331,9.150605,2.641684,3.314152,.8505,.478,.924
"RWA","Rwanda",6.721426,-2.302585,3.912023,0,0,0,0,1,0,0,0,2,29.91774,7,83,12,-4.60517,0,9,1,0,0,0,0,1,0,-3.503525,-9.21034,-6.907755,2.945036,10.7538,2.622741,3.567813,2.101732,.3238,.982,.0263
"SDN","Sudan",6.898715,5.841245,11.95632,0,1,0,0,0,0,0,0,12,30.04159,0,41,5,-1.079278,0,73,0,1,0,0,0,1,0,-3.181087,-4.488462,-6.907755,.4084752,15.25287,3.527528,1.827123,.983083,.7147,.576,2.51
"SEN","Senegal",7.267525,7.561687,12.91682,0,0,1,0,0,0,0,0,14,-14.46586,0,74,12,.9966474,0,91,1,0,0,0,1,0,0,-13.81551,-9.21034,-6.907755,.8638997,3.897721,10.79068,3.034838,5.518319,.6939,.694,.196
"SLE","Sierra Leone",5.937536,6.878126,11.47905,0,1,0,0,0,0,0,0,8,-11.79189,3,82,19,1.723961,0,39,0,1,0,0,1,0,0,-3.553395,-9.21034,-1.536141,1.618101,3.705474,10.18761,3.473508,5.409636,.8191,.008,.0717
"SOM","Somalia",6.760415,3.923764,10.37327,0,1,0,0,0,0,0,0,5,45.93132,0,80,15,1.55798,0,100,0,1,0,0,0,1,0,-13.81551,-9.21034,-6.907755,.0606283,12.05779,2.358296,3.090304,.6954757,.8117,.034,.638
"STP","Sao Tome & Principe",7.111512,-2.302585,3.912023,0,0,0,1,0,0,0,0,.2,6.68778,0,79,13,5.383156,1,0,1,0,0,0,0,0,1,-13.81551,-9.21034,-6.907755,-2.302585,5.196697,8.474005,3.6702,3.932184,,,.00096
"SWZ","Swaziland",7.865572,-2.302585,3.912023,0,1,0,0,0,0,0,0,26,31.49749,20,81,-5,-4.60517,0,0,0,1,0,1,0,0,0,-13.81551,-9.21034,-4.457984,-.6176535,8.290959,2.622083,6.294675,4.422592,.0582,1,.0174
"SYC","Seychelles",8.75684,-2.302585,3.912023,0,0,1,0,0,0,0,0,4,55.37541,69,78,19,6.983902,1,0,1,0,0,0,0,1,0,-13.81551,-9.21034,-6.907755,-2.302585,11.45741,1.742192,4.635344,2.252856,.2025,,.000455
"TCD","Chad",6.049734,6.023867,12.87262,0,0,1,0,0,0,0,0,12,18.66029,0,72,8,-4.60517,0,43,1,0,0,0,0,0,1,-13.81551,-9.21034,-6.907755,-.4927752,5.581032,8.875547,1.879364,2.026491,.862,.384,1.28
"TGO","Togo",6.35437,8.536835,13.28513,0,0,1,0,0,0,0,0,6,.97634,15,77,15,-.0141846,0,12,1,0,0,0,1,0,0,-13.81551,-9.21034,-6.907755,1.470734,4.92623,9.258235,3.009106,4.084906,.7099,.622,.0568
"TUN","Tunisia",8.420241,-2.302585,3.912023,0,0,1,0,0,0,0,0,36,9.56295,3,64,-1,1.947651,0,99,1,0,1,0,0,0,0,-13.81551,-.3781253,-6.907755,1.629374,7.479859,15.83294,.3097339,3.20461,.0394,.98,.164
"TZA","Tanzania",6.261492,6.338511,12.10194,0,1,0,0,0,0,0,0,4,34.81658,0,56,8,.4072272,0,33,0,1,0,0,0,1,0,-3.161444,-9.21034,-4.186928,.4596342,10.59497,2.558215,4.05628,2.18672,.7353,.669,.945
"UGA","Uganda",6.669498,2.959842,7.543646,0,1,0,0,0,0,0,0,.2,32.38633,46,72,12,-4.60517,0,7,0,1,0,0,0,1,0,-2.876623,-9.21034,-6.907755,1.723667,10.99569,2.699154,3.203552,1.649949,.9302,.634,.236
"ZAF","South Africa",8.32821,.5095113,7.011269,0,1,0,0,0,0,0,0,30,25.14831,8,67,-2,.8589395,0,1,0,1,0,1,0,0,0,3.084304,-5.725029,-1.201608,-.9186776,6.765942,3.457205,6.583775,4.89507,.7517,,1.22
"ZAR","Democratic Republic of Congo",5.384495,5.787438,11.76894,0,0,0,0,1,0,0,0,7,23.65134,3,73,14,-4.151253,0,1,1,0,0,0,0,0,1,-2.295242,-3.441503,-.68398,.4253423,5.712497,7.643048,3.747742,2.686999,.8747,.649,2.35
"ZMB","Zambia",6.50129,3.614361,10.893,0,1,0,0,0,0,0,0,20,27.81663,0,71,4,-4.60517,0,.3,0,1,0,1,0,0,0,-3.235008,-9.21034,-6.907755,-1.048586,9.027167,2.388914,4.848526,3.253377,.7808,.743,.753
"ZWE","Zimbabwe",7.154615,1.023552,7.925018,0,1,0,0,0,0,0,0,19,29.87154,0,57,0,-4.60517,0,0,0,1,0,1,0,0,0,.6928481,-9.21034,-5.543311,-.2810889,9.027167,2.388914,5.453967,3.695537,.3874,.965,.391
