size,age,education,male,wage_month,wage_annual,wage_hour
1,42.6,4,1,365.7,5193.5,2.277851
3,47.6,4,1,491.4,7821.8,3.703504
2,47.5,4,1,413.2,6365.6,2.98015
1,47.4,4,1,378.5,5474.9,2.520672
3,52.5,4,1,512.9,8142.4,3.811985
2,52.3,4,1,419.2,6344.7,3.004119
1,52.6,4,1,392.8,5619.7,2.630946
3,57.5,4,1,522.8,8370.1,3.985762
2,57.4,4,1,431,6632,3.104869
1,57.6,4,1,412.9,5840,2.718808
3,62.2,4,1,352.7,5343,2.650298
2,62.3,4,1,315.5,4503.1,2.194493
1,62.4,4,1,343,4840.4,2.278908
3,67.1,4,1,285.6,3853.7,2.007135
2,67.2,4,1,306.8,4172.1,2.057249
1,67.3,4,1,301.3,4019.9,1.903362
3,72.3,5,1,409.5,5063.5,2.305783
2,73.3,5,1,207.4,2688.1,1.382767
1,72.4,5,1,367,4800.4,2.424444
3,42.7,5,1,474,7451.5,3.469041
2,43.3,5,1,407.1,6080.3,2.846582
1,44.4,5,1,365.5,5213.5,2.427141
3,23.7,5,1,272.6,3688.1,1.707454
2,23.7,5,1,252.2,3357.8,1.563222
1,23.7,5,1,242.5,3162.9,1.440301
3,27.5,5,1,339.4,5135.3,2.300762
2,27.5,5,1,296.6,4318.9,1.977518
1,27.7,5,1,279.7,3869.2,1.7814
3,32.4,5,1,407.9,6219.8,2.801712
2,32.4,5,1,345.5,5154.8,2.360256
1,32.5,5,1,319.1,4546.5,2.093232
3,37.5,5,1,477.7,7457,3.39572
2,37.6,5,1,396.8,5904.2,2.703388
1,37.5,5,1,359,5131.2,2.362431
3,42.6,5,1,502.6,7951.6,3.701862
2,42.5,5,1,432.7,6526.6,3.021574
1,42.5,5,1,394.4,5695.7,2.651629
3,47.6,5,1,554.7,8852.6,4.215524
2,47.5,5,1,462.4,7058.5,3.304541
1,47.5,5,1,407.3,5926.1,2.758892
3,52.5,5,1,593.5,9707.3,4.675963
2,52.4,5,1,497.9,7626.1,3.631476
1,52.3,5,1,427.8,6216.2,2.910206
3,57.4,5,1,583,9487.1,4.650539
2,57.5,5,1,530,8130.7,3.916522
1,57.6,5,1,441.6,6375.8,3.053544
3,62.3,5,1,397,6077.5,2.996795
2,62.3,5,1,403.3,5890.1,2.870419
1,62.4,5,1,368.5,5172.1,2.505862
3,66.9,5,1,383.5,5165.6,2.562302
2,67.1,5,1,345.2,4589.9,2.236793
1,67.2,5,1,324.8,4410.7,2.187847
3,72.1,6,1,337.3,4548.3,2.242752
2,73,6,1,400.2,5173.7,2.506638
1,73.5,6,1,304.9,4057.4,2.036847
3,42.1,6,1,546.4,8728.2,4.086236
2,42.4,6,1,475.9,7542.6,3.591714
1,43.4,6,1,450.2,6930.6,3.244663
3,24.5,6,1,281.6,3400.1,1.647335
2,24.5,6,1,258.9,3206.9,1.57201
1,24.5,6,1,247.3,2997,1.411017
3,27.6,6,1,358.4,5336.8,2.391039
2,27.7,6,1,316.6,4784.1,2.155
1,27.9,6,1,291.6,4015.2,1.848619
3,32.6,6,1,434.1,6705.4,3.02045
2,32.6,6,1,370.4,5798.9,2.655174
1,33,6,1,380.3,5406.3,2.574429
3,37.5,6,1,521.4,8295.6,3.777596
2,37.4,6,1,433.3,6884,3.204842
1,36.9,6,1,447.7,7593.6,3.365957
3,42.4,6,1,601.5,9586.3,4.487968
2,42.4,6,1,499.3,7912.9,3.811609
1,42.1,6,1,463,7589.6,3.614095
3,47.5,6,1,628.1,10296.3,4.959682
2,47.3,6,1,534,8714.2,4.197591
1,47.2,6,1,494.2,7367.7,3.569622
3,52.4,6,1,678.1,11117.2,5.449608
2,52.2,6,1,620.8,9970.1,4.887304
1,52.1,6,1,554.9,8445.5,4.139951
3,57.2,6,1,699.4,11730.5,5.8187
2,57.5,6,1,642,10463.8,5.284748
1,57.7,6,1,509,6954.8,3.184432
3,62.2,6,1,592.8,9561,4.799699
2,62.4,6,1,576,8979.4,4.480739
1,62.8,6,1,479.9,7668.8,3.590262
3,66.5,6,1,701.7,10655.6,5.381616
2,67.3,6,1,561.2,8323.6,4.178514
1,67.1,6,1,531.8,7486.7,3.804218
3,72.8,1,0,241.4,3283.4,1.776732
2,72.9,1,0,211.4,2696,1.395445
1,73.4,1,0,223.3,2963.8,1.505996
3,45.5,1,0,234,3124.1,1.577828
2,48.2,1,0,216.6,2855,1.383236
1,49.1,1,0,215.5,2819.9,1.34281
3,18.5,1,0,221.7,2660.4,1.43961
2,18.1,1,0,156,1900.7,1.048951
1,18.9,1,0,187.4,2304.2,1.163737
3,22.6,1,0,189.7,2566.7,1.3711
2,22.4,1,0,208.8,2725.8,1.376667
1,22.6,1,0,201,2576.6,1.234004
3,27.6,1,0,260.9,3351.1,1.551435
2,28.5,1,0,235.6,3044.7,1.417458
1,27.2,1,0,196.2,2459.2,1.212623
3,32.4,1,0,222.7,2947.3,1.554483
2,33,1,0,223.2,2891,1.408869
1,33,1,0,220.2,2815.5,1.34842
3,37.6,1,0,235.3,3051.2,1.531727
2,37.3,1,0,221,2858.3,1.401127
1,37.1,1,0,218,2790.4,1.344123
3,42.7,1,0,240.1,3159.3,1.615184
2,42.5,1,0,217,2829,1.386765
1,42,1,0,216.2,2773,1.328065
3,47.4,1,0,257.5,3574.3,1.805202
2,48.1,1,0,241.6,3231.5,1.521422
1,47.8,1,0,227.4,3066.2,1.468487
3,52.5,1,0,230.2,3063.6,1.537952
2,52.5,1,0,223,3092.3,1.455885
1,52.2,1,0,233.7,3139.4,1.461546
3,57.8,1,0,264.8,3665.4,1.775872
2,57,1,0,213.6,2870.2,1.432235
1,57.4,1,0,227.5,3079.1,1.457907
3,63,1,0,234.6,3153.1,1.573403
2,62.1,1,0,194.5,2583,1.266176
1,62.6,1,0,219.2,2957.5,1.361648
3,67.4,1,0,190.4,2452.2,1.246037
2,67.6,1,0,190,2432.4,1.192353
1,67.6,1,0,180.8,2288.2,1.102216
3,72.3,2,0,200,2725.6,1.465376
2,74.1,2,0,190.4,2425.7,1.196105
1,74.1,2,0,212.9,2766.3,1.372173
3,45.3,2,0,257.6,3680.8,1.847791
2,44.6,2,0,234.1,3299.7,1.598692
1,46.9,2,0,224.3,3052.3,1.487476
3,19.1,2,0,198.7,2562.8,1.241667
2,19.1,2,0,184.8,2344.8,1.12948
1,19.1,2,0,187.4,2320.6,1.105048
3,22.6,2,0,221.7,3134.6,1.518702
2,22.4,2,0,207.6,2928.6,1.386648
1,22.5,2,0,200.5,2681.6,1.269697
3,27.3,2,0,227.6,3117.3,1.56491
2,27.7,2,0,221.6,3147.7,1.507519
1,27.5,2,0,213.3,2858.5,1.369013
3,32.5,2,0,241.7,3465.4,1.739659
2,32.6,2,0,231.9,3324.9,1.610901
1,32.6,2,0,210.9,2842.8,1.38538
3,37.6,2,0,246.3,3455.1,1.75564
2,37.5,2,0,234,3295.2,1.615294
1,37.6,2,0,222.1,3027.9,1.475585
3,42.6,2,0,256.3,3621.6,1.818072
2,42.7,2,0,248.6,3511.5,1.691474
1,42.7,2,0,228.5,3123.5,1.531127
3,47.7,2,0,278.4,4094.5,2.031002
2,47.7,2,0,248.6,3511.8,1.691618
1,47.6,2,0,232.4,3189.4,1.554289
3,52.4,2,0,284.4,4135.7,2.063723
2,52.5,2,0,252.1,3617.5,1.752665
1,52.5,2,0,238.2,3293.9,1.595882
3,57.6,2,0,284,4161.9,2.10197
2,57.4,2,0,252.2,3616.5,1.772794
1,57.4,2,0,238,3284.3,1.591231
3,62.3,2,0,237.7,3298.9,1.707505
2,62.3,2,0,211.5,2865.6,1.413018
1,62.3,2,0,221.2,2987.9,1.473323
3,67.2,2,0,230.9,3054.8,1.591042
2,67.1,2,0,195.9,2583.6,1.296988
1,67.5,2,0,199.9,2626.7,1.302927
3,72.9,3,0,245.7,3415.5,1.872533
2,72.5,3,0,187.6,2366.9,1.225103
1,73.1,3,0,207.8,2730.4,1.37899
3,40.8,3,0,315.3,4567,2.278942
2,42.2,3,0,291.9,4147.8,2.069761
1,42.4,3,0,266.4,3663,1.785088
3,23,3,0,271.9,3676.9,1.802402
2,22.8,3,0,240.5,3178.3,1.576538
1,22.8,3,0,217.7,2795.8,1.323769
3,27.2,3,0,292,4014.1,1.991121
2,27.4,3,0,260.8,3626.8,1.788363
1,27.3,3,0,243.6,3269.7,1.557
3,32.6,3,0,293,4160.7,2.088705
2,32.5,3,0,268,3755,1.88504
1,32.5,3,0,247.3,3367.2,1.631395
3,37.5,3,0,308.3,4634.3,2.326456
2,37.6,3,0,287.1,4104.9,2.073182
1,37.5,3,0,265,3671.3,1.799657
3,42.6,3,0,327.8,4822.1,2.420733
2,42.6,3,0,298.9,4272.3,2.144729
1,42.6,3,0,266.3,3695.7,1.822337
3,47.7,3,0,341.2,5063.3,2.511558
2,47.5,3,0,315.2,4578.2,2.284531
1,47.5,3,0,289.7,4061.5,1.979288
3,52.5,3,0,354.4,5288.5,2.592402
2,52.4,3,0,318.6,4645.1,2.331877
1,52.4,3,0,290.1,4058.9,2.00143
3,57.2,3,0,355.8,5337.8,2.663573
2,57.4,3,0,334.2,4847.3,2.433383
1,57.3,3,0,299.9,4206.9,2.074408
3,62.2,3,0,272.9,3776.9,1.919157
2,62.1,3,0,300.4,4243.4,2.169427
1,62.3,3,0,276.4,3802.3,1.863873
3,67.3,3,0,261.1,3446.6,1.783955
2,66.9,3,0,258.1,3481.3,1.790792
1,67.1,3,0,258.5,3548.6,1.814213
3,71.6,4,0,206.3,2655.3,1.349238
2,72.6,4,0,290.3,3778.4,1.908283
1,73.1,4,0,263,3502.4,1.801646
3,45.4,4,0,318.5,4780.5,2.357249
2,44.2,4,0,281.9,4108.8,2.026036
1,43.7,4,0,263.2,3792.7,1.859167
3,22.8,4,0,240.5,3285.9,1.573707
2,22.9,4,0,224.1,3125.1,1.514099
1,22.5,4,0,216.9,3049.5,1.452143
3,27.5,4,0,274.2,3971.5,1.958333
2,27.5,4,0,254.9,3643.9,1.77578
1,27.3,4,0,235.3,3399.3,1.646948
3,32.5,4,0,287.4,4161.4,2.051972
2,32.5,4,0,252,3582.1,1.755931
1,32.4,4,0,245.2,3500.9,1.696172
3,37.6,4,0,299.9,4457.1,2.210863
2,37.5,4,0,269.2,3828.9,1.876912
1,37.6,4,0,250.6,3637,1.782843
3,42.7,4,0,323.4,4932.9,2.432396
2,42.5,4,0,296.5,4364.4,2.152071
1,42.7,4,0,264.3,3848,1.875244
3,47.6,4,0,327.3,4944.3,2.438018
2,47.6,4,0,302,4475.9,2.181238
1,47.5,4,0,277.7,4028.8,1.986588
3,52.4,4,0,355.3,5445.4,2.653704
2,52.5,4,0,306.7,4575,2.255917
1,52.5,4,0,289.2,4158.9,2.014971
3,57.3,4,0,354.3,5448.4,2.702579
2,57.5,4,0,309.9,4633.3,2.312026
1,57.5,4,0,295.2,4295.8,2.081298
3,62.2,4,0,264,3781.4,1.933231
2,62.2,4,0,255.7,3572.3,1.782585
1,62.3,4,0,265.3,3778.3,1.874157
3,67,4,0,279.9,3838.6,2.050534
2,66.9,4,0,235.4,3127.3,1.56993
1,67.1,4,0,269.7,3807.2,1.922828
3,72.7,5,0,323.6,4593.4,2.485606
2,73,5,0,234.7,3091.7,1.64103
1,73.2,5,0,282.4,4008.3,2.00015
3,35.6,5,0,339.1,5123.4,2.482267
2,36.3,5,0,308.3,4438.7,2.150533
1,39,5,0,290.3,4087.4,1.98033
3,23.6,5,0,264,3552.6,1.701437
2,23.6,5,0,242.9,3215,1.530952
1,23.6,5,0,232.8,3008.6,1.432667
3,27.3,5,0,303.6,4566.7,2.187117
2,27.3,5,0,270.8,3900.7,1.846922
1,27.5,5,0,253.3,3492.3,1.672557
3,32.3,5,0,336.5,5124.7,2.482897
2,32.3,5,0,289,4144.2,2.019591
1,32.2,5,0,271.8,3833.1,1.857122
3,37.4,5,0,359.7,5600.8,2.761736
2,37.5,5,0,316,4549.1,2.229951
1,37.5,5,0,293.1,4099.1,1.985998
3,42.5,5,0,380.5,5822,2.887897
2,42.5,5,0,345,5069.2,2.456008
1,42.5,5,0,311,4429.2,2.197024
3,47.4,5,0,395.8,6140.7,2.992544
2,47.5,5,0,366.8,5483.3,2.656638
1,47.4,5,0,330,4812.8,2.318305
3,52.3,5,0,425.5,6650,3.259804
2,52.1,5,0,384.3,5680.9,2.752374
1,52.3,5,0,335.5,4812.8,2.331783
3,57.3,5,0,430.5,6700.6,3.304043
2,57.2,5,0,404.8,5916.6,2.952395
1,57.3,5,0,346.2,5003.9,2.467406
3,62,5,0,326.5,4864.7,2.487066
2,62.2,5,0,347.3,5021.3,2.53601
1,62.2,5,0,291.5,4089.4,2.052912
3,67.2,5,0,289.4,3953.9,2.033899
2,66.8,5,0,376,5046.2,2.579857
1,66.8,5,0,297.4,4151.8,2.011531
3,73.2,6,0,263.3,3573.4,1.933658
2,74.5,6,0,452.7,5732.4,2.948766
1,74,6,0,289.9,3934.2,1.98697
3,39.9,6,0,456,6959.3,3.352264
2,41.2,6,0,426.3,6450.6,3.125291
