ID,name,year,win_rate,n_games,era,strike_out,error,batting,homerun,ribby,stolen_base
8,西武ライオンズ,2004,55.6390977,133,4.29,965,656,27.6,183,691,97
10,千葉ロッテマリーンズ,1994,42.3076923,130,4.5,919,633,26.1,104,503,54
10,千葉ロッテマリーンズ,1995,53.0769231,130,3.27,1004,461,25.4,88,458,84
10,千葉ロッテマリーンズ,1996,46.1538462,130,3.68,863,525,25.2,85,437,71
10,千葉ロッテマリーンズ,1997,42.2222222,135,3.84,817,584,24.9,75,429,117
10,千葉ロッテマリーンズ,1998,45.1851852,135,3.7,750,563,27.1,102,556,80
10,千葉ロッテマリーンズ,1999,46.6666667,135,3.644,851,538,25.67,97,515,64
10,千葉ロッテマリーンズ,2000,45.9259259,135,4.73,797,708,25.9,109,587,88
10,千葉ロッテマリーンズ,2001,45.7142857,140,3.93,816,608,25.8,133,569,55
10,千葉ロッテマリーンズ,2002,47.8571429,140,3.72,930,565,24.66,101,478,57
10,千葉ロッテマリーンズ,2003,48.5714286,140,4.37,849,665,27.13,145,628,68
10,千葉ロッテマリーンズ,2004,48.8721805,133,4.4,878,642,26.4,143,626,49
2,中日ドラゴンズ,1994,53.0769231,130,3.45,841,481,25.81,108,513,65
2,中日ドラゴンズ,1995,38.4615385,130,4.75,840,651,25.1,136,475,50
2,中日ドラゴンズ,1996,55.3846154,130,4.01,934,589,27.8,179,616,36
2,中日ドラゴンズ,1997,43.3823529,136,4.33,925,644,24.3,115,495,55
2,中日ドラゴンズ,1998,55.1470588,136,3.14,904,458,24.8,100,469,91
2,中日ドラゴンズ,1999,60,135,3.39,845,488,26.3,120,578,78
2,中日ドラゴンズ,2000,51.8518519,135,4.19,932,617,26.6,111,521,57
2,中日ドラゴンズ,2001,44.2857143,140,3.48,1012,513,25.3,98,464,53
2,中日ドラゴンズ,2002,49.2857143,140,3.19,1002,502,25.7,125,519,54
2,中日ドラゴンズ,2003,52.1428571,140,3.8,1035,578,26.8,137,586,57
2,中日ドラゴンズ,2004,57.2463768,138,3.86,1019,558,27.4,111,589,95
3,読売ジャイアンツ,1994,53.8461538,130,3.41,885,483,25.83,122,497,29
3,読売ジャイアンツ,1995,54.9618321,131,3.4,941,494,25.2,139,509,64
3,読売ジャイアンツ,1996,59.2307692,130,3.47,866,478,25.3,147,538,69
3,読売ジャイアンツ,1997,46.6666667,135,3.69,899,536,25.1,150,532,37
3,読売ジャイアンツ,1998,54.0740741,135,3.74,902,551,26.7,148,605,54
3,読売ジャイアンツ,1999,55.5555556,135,3.84,899,553,26.5,182,595,51
3,読売ジャイアンツ,2000,57.7777778,135,3.34,1039,497,26.3,203,659,50
