female,age,income,educ,value_family,social_class,LDP,DPJ,COM,marriage
1,22,200,9,3,5,0,1,0,0
0,23,0,16,4,6,1,0,0,0
0,31,300,12,3,5,0,0,0,0
0,33,300,16,3,1,0,0,0,0
1,26,100,12,1,4,0,0,0,1
1,34,200,14,1,6,0,0,0,1
0,30,300,16,1,4,0,0,0,0
0,32,300,14,4,5,0,0,0,1
0,30,300,14,3,6,0,0,0,0
0,34,200,9,3,5,0,0,0,1
0,31,300,9,2,9,0,0,0,0
1,35,500,16,1,7,0,1,0,1
1,26,300,14,4,7,0,0,0,0
0,26,200,14,3,4,0,1,0,0
0,27,300,12,3,5,0,1,0,0
1,32,0,14,4,7,0,0,0,1
1,33,0,16,3,6,0,1,0,1
1,28,100,12,2,5,0,0,0,0
0,33,500,16,2,6,0,0,0,1
1,30,300,14,2,7,1,0,0,1
0,32,700,16,4,6,0,0,0,0
0,24,200,16,3,3,0,0,0,0
1,30,0,14,3,5,0,1,0,1
0,25,500,16,1,6,0,0,0,0
1,32,100,16,2,6,0,0,0,1
1,21,25,12,4,6,0,0,0,0
1,32,300,14,1,6,1,0,0,1
1,26,25,9,2,3,0,0,0,0
1,33,50,12,1,3,0,0,0,1
1,35,300,12,3,4,1,0,0,1
1,27,200,14,3,5,0,0,0,1
0,28,500,18,3,7,0,0,0,0
0,31,500,16,1,6,0,0,0,1
1,33,200,12,1,2,0,0,0,0
0,35,25,12,3,4,0,0,0,0
0,32,300,12,1,4,0,0,0,0
0,28,500,16,3,6,0,0,0,1
1,29,400,14,1,5,0,0,0,1
1,31,0,12,3,6,1,0,0,1
0,27,500,16,1,7,1,0,0,0
1,33,25,14,3,6,1,0,0,1
0,22,200,14,1,7,0,0,0,0
1,30,1000,18,1,8,0,0,0,1
0,30,500,18,4,4,1,0,0,0
0,27,400,14,4,7,1,0,0,1
0,30,400,16,4,5,0,0,0,1
1,26,25,12,1,1,0,0,0,1
1,24,200,16,1,5,0,0,0,0
0,25,500,16,2,6,0,0,0,0
1,24,300,16,1,3,0,0,0,1
0,26,400,16,1,8,0,0,0,1
0,33,300,9,4,2,0,0,0,1
1,27,100,14,3,6,0,0,0,0
0,32,300,16,3,4,1,0,0,0
0,35,400,14,1,3,0,0,0,1
1,22,100,12,4,5,0,0,0,0
1,26,300,16,2,7,1,0,0,0
0,22,300,12,5,4,0,0,0,0
0,26,300,16,4,7,0,0,0,0
1,30,200,12,1,4,0,0,0,0
1,31,200,12,1,5,0,0,0,1
1,31,300,12,1,4,0,0,0,0
1,31,200,12,3,5,0,0,0,1
0,35,500,16,1,8,0,1,0,0
0,24,25,14,3,3,0,0,0,0
0,24,100,14,1,2,0,0,0,0
1,31,0,12,3,6,0,0,0,1
1,26,50,12,4,8,0,1,0,0
0,26,300,9,4,3,1,0,0,0
0,31,400,16,2,5,0,0,0,0
0,32,500,16,4,5,1,0,0,1
0,25,300,12,2,3,0,0,0,0
0,30,200,14,5,5,0,0,0,0
1,32,0,16,2,6,0,0,0,1
1,30,700,16,4,3,0,0,0,0
1,24,300,16,3,8,1,0,0,0
0,28,300,14,4,4,1,0,0,0
0,32,200,18,4,4,0,0,0,0
0,33,200,16,1,6,1,0,0,0
0,35,0,16,2,5,0,1,0,0
0,29,500,14,1,6,0,1,0,0
1,35,0,14,3,5,0,0,0,1
1,23,300,14,1,6,0,0,0,0
1,26,300,14,2,2,0,0,0,0
0,35,400,14,3,4,0,0,0,0
1,26,300,14,2,7,1,0,0,0
1,33,300,12,1,4,0,0,0,0
0,35,500,16,3,6,0,0,0,0
1,30,200,12,1,4,0,0,0,0
1,26,0,12,2,4,0,0,0,0
1,30,100,14,1,6,0,0,0,0
0,26,200,12,1,4,1,0,0,0
0,30,400,16,2,8,0,0,0,1
0,32,400,16,2,7,1,0,0,0
0,34,400,16,3,5,0,0,0,0
1,29,400,14,4,6,0,0,0,0
0,35,300,14,4,3,0,0,0,0
0,34,500,16,3,5,0,0,0,1
1,22,0,12,1,4,0,0,0,1
0,35,500,12,4,2,0,0,0,1
1,31,0,12,4,3,0,0,0,1
1,28,0,12,1,7,0,0,0,1
0,35,300,12,1,2,0,0,0,0
0,35,700,16,2,7,0,1,0,1
0,34,500,16,3,6,1,0,0,0
0,32,300,12,1,7,0,0,0,0
0,34,400,12,3,4,0,0,0,1
1,27,50,14,3,5,0,0,0,0
0,32,400,14,1,6,0,0,1,1
1,25,300,16,1,6,0,0,0,0
1,21,100,12,3,5,0,0,0,0
0,28,300,16,3,5,0,0,0,0
1,30,400,14,3,5,0,0,0,1
0,26,300,14,4,1,0,0,0,0
0,30,200,14,1,4,0,0,0,0
1,29,200,9,3,4,0,0,0,1
0,27,300,16,1,6,0,0,0,0
1,35,100,12,2,6,1,0,0,1
0,35,300,16,1,6,0,1,0,1
0,23,200,14,3,6,0,0,0,0
1,28,0,14,1,6,0,1,0,1
0,31,500,18,1,6,1,0,0,1
1,23,100,14,2,3,0,0,0,0
1,29,0,12,2,6,0,0,0,1
0,24,100,12,3,4,0,0,0,0
0,33,500,12,3,3,0,0,0,1
1,30,50,12,4,5,1,0,0,1
0,34,100,14,1,2,0,0,0,0
1,27,100,14,4,6,1,0,0,0
1,27,100,16,1,6,0,0,0,1
0,34,300,9,3,6,0,0,0,0
0,25,200,16,3,3,0,0,0,0
0,33,400,16,2,3,1,0,0,0
1,34,500,14,2,5,0,1,0,0
1,30,0,12,3,4,0,0,1,1
1,35,300,14,1,4,0,0,0,1
0,33,100,14,1,1,0,0,0,0
0,34,400,9,4,6,0,0,0,1
0,24,400,16,1,6,1,0,0,0
0,27,300,16,1,4,0,0,0,0
1,30,300,16,2,4,0,0,0,1
0,27,300,12,4,3,1,0,0,0
0,34,400,16,2,4,1,0,0,0
1,29,200,14,4,6,0,0,0,1
0,23,300,14,1,5,0,0,0,0
0,33,200,12,3,2,0,0,0,0
1,22,200,14,1,4,1,0,0,0
0,30,200,14,2,6,0,1,0,0
1,30,100,14,3,5,0,0,0,0
1,23,100,12,3,4,0,0,0,0
1,32,300,14,4,6,1,0,0,0
1,34,100,16,2,7,0,0,0,1
0,30,500,14,4,7,0,1,0,1
1,24,200,16,4,5,0,0,0,0
1,25,300,14,5,5,0,0,0,0
1,27,300,12,1,6,0,0,1,0
0,34,300,9,5,6,0,0,0,0
1,30,300,16,3,4,0,0,0,0
1,34,500,14,3,7,0,1,0,0
1,34,0,14,4,4,0,1,0,1
1,28,300,14,4,9,0,0,0,0
1,32,100,14,1,6,0,0,0,1
0,25,300,16,1,6,0,0,0,0
0,22,200,14,1,4,0,0,0,0
1,25,200,16,2,6,0,0,0,0
0,25,300,14,3,4,0,0,0,0
0,30,700,16,2,6,0,0,0,0
1,33,100,12,3,4,0,0,0,1
0,29,500,18,1,5,0,0,0,0
0,33,0,16,5,8,0,1,0,0
0,29,400,16,3,5,0,0,0,0
1,26,100,16,2,6,0,0,0,1
0,29,200,14,2,4,0,0,0,1
0,32,500,16,1,8,1,0,0,1
1,35,0,14,2,7,0,0,0,1
0,34,500,16,4,6,0,0,0,0
1,33,0,14,4,6,0,1,0,1
1,21,300,12,5,3,0,0,0,0
0,35,500,16,1,7,1,0,0,1
0,34,300,12,5,6,1,0,0,1
0,32,200,14,3,4,0,0,0,1
1,26,300,16,4,2,0,0,0,0
0,28,700,18,3,2,0,1,0,0
0,32,400,16,1,6,0,0,0,1
1,30,100,12,4,10,1,0,0,1
1,31,300,14,2,7,0,0,0,1
1,30,200,14,1,3,0,0,0,0
1,33,50,16,1,4,1,0,0,0
0,31,400,16,1,5,0,0,0,0
0,22,300,9,5,6,0,0,0,0
0,35,700,16,4,7,1,0,0,1
1,34,0,14,4,5,0,0,0,1
0,35,500,16,3,4,0,0,0,0
1,22,400,14,3,4,0,0,0,0
0,31,400,16,3,4,0,0,0,1
0,26,300,12,2,5,0,0,0,0
1,29,50,14,2,7,0,0,0,1
0,33,500,16,1,5,0,0,0,0
0,30,300,16,1,6,0,0,0,1
1,27,300,14,3,6,0,0,0,0
1,29,300,16,3,6,1,0,0,0
1,30,300,16,2,6,1,0,0,1
0,27,300,16,5,3,1,0,0,0
0,25,200,16,1,5,0,0,0,0
1,33,50,14,3,3,0,0,0,0
0,34,400,14,4,6,1,0,0,1
0,28,0,16,1,2,0,0,0,0
0,25,500,16,4,7,0,0,0,0
0,34,400,16,5,6,0,1,0,0
1,25,300,16,1,4,0,0,0,0
0,35,400,16,5,6,0,0,0,0
0,32,200,14,2,5,0,0,0,0
1,32,0,12,3,5,0,0,0,1
1,28,500,16,1,8,0,0,0,0
0,33,400,12,5,7,0,0,0,0
1,21,25,12,4,3,0,0,0,0
0,35,400,16,4,7,0,1,0,1
1,34,100,12,2,3,1,0,0,1
0,35,400,16,2,6,0,0,0,1
0,23,300,12,2,3,1,0,0,0
0,33,200,9,1,2,0,0,0,1
0,31,200,9,1,1,0,0,0,1
1,23,300,14,2,1,0,1,0,0
1,35,100,14,4,5,1,0,0,1
0,22,200,12,1,2,0,0,0,0
0,30,400,14,3,4,0,0,0,1
0,31,0,12,1,1,0,0,0,0
1,25,200,12,4,4,0,0,0,0
1,22,100,14,1,6,0,0,0,0
0,23,200,12,2,4,0,0,0,0
1,22,200,14,1,7,0,0,0,0
0,35,400,16,2,4,0,0,0,1
1,28,0,12,4,3,1,0,0,1
1,25,300,14,4,5,0,0,0,0
1,25,300,16,2,5,1,0,0,0
0,29,400,14,1,7,1,0,0,0
0,34,300,14,3,4,1,0,0,0
1,31,0,12,1,3,0,0,0,1
1,33,25,12,5,6,0,0,0,1
0,31,300,14,5,5,1,0,0,0
1,32,200,16,1,3,0,0,0,0
0,35,300,14,4,5,0,0,0,1
1,29,200,16,1,6,0,0,0,0
1,26,500,14,1,6,0,0,0,0
1,31,0,14,3,4,0,0,0,1
0,28,200,16,2,2,0,0,0,0
1,29,2000,14,4,8,1,0,0,1
1,32,0,16,3,4,0,0,0,1
0,31,400,16,2,6,0,0,0,0
1,31,400,14,3,7,0,0,0,0
1,33,0,14,3,6,1,0,0,1
0,34,300,9,4,4,0,1,0,0
1,30,100,14,4,4,0,0,0,0
0,28,400,14,5,5,0,0,0,1
1,35,300,14,3,4,0,0,0,0
1,32,25,9,5,2,0,0,0,0
1,31,50,16,3,5,0,0,0,1
0,33,400,14,2,5,0,0,0,1
0,34,400,12,3,5,1,0,0,1
0,35,500,16,5,6,0,1,0,1
0,32,300,14,1,2,0,0,0,1
1,32,100,12,3,6,0,0,0,1
1,32,0,16,3,7,0,0,0,1
0,28,100,12,4,6,1,0,0,0
1,32,25,12,1,5,0,0,0,1
1,24,100,12,3,3,0,0,0,0
0,30,100,18,1,4,0,0,0,0
0,30,400,16,1,3,1,0,0,0
1,26,200,14,1,6,0,0,0,0
1,21,200,14,1,3,0,0,1,0
0,32,400,16,4,6,1,0,0,0
1,30,300,14,3,5,0,0,0,0
0,31,50,12,3,7,0,0,0,0
1,24,200,16,3,5,0,0,0,0
0,35,400,12,1,6,0,0,0,1
1,22,200,14,3,5,1,0,0,0
1,30,100,12,2,6,0,0,0,0
0,32,400,12,3,5,0,1,0,0
1,31,0,12,4,4,0,0,0,0
1,30,0,14,3,5,0,0,0,1
1,30,300,14,1,5,0,0,0,1
0,30,500,12,5,7,0,0,0,1
1,23,100,14,1,2,0,0,0,0
1,26,200,14,4,4,1,0,0,0
1,23,200,14,1,6,0,0,0,0
1,30,200,14,1,3,1,0,0,0
