rent,service,walk,bus,floor,age,autolock,catv,station,terminal,express,line
13.9,0,5,0,53,26,NO,0,tamagawa,13,1,tokyu
11,4,16,0,53,17,NO,0,motosumiyoshi,20,0,tokyu
9.1,5,8,0,27,4,YES,1,kamata,9,0,jr
10.3,3,4,0,35,17,NO,0,kamata,9,0,jr
8.799999,5.1,4,0,28,7,YES,0,tsurumi,18,0,jr
8.9,5,5,0,43,19,NO,0,shin_kawasaki,12,0,jr
12,3,15,0,53,18,NO,0,motosumiyoshi,20,0,tokyu
15,0,3,0,58,22,NO,0,oimachi,3,0,jr
9,5,7,0,21,1,YES,1,jiyugaoka,14,0,tokyu
17.5,0,11,0,70,11,YES,1,yutenji,7,1,tokyu
11.8,2,15,0,39,17,NO,0,jiyugaoka,14,0,tokyu
8.3,6,9,0,25,2,YES,1,omori,6,0,jr
14.5,0,7,0,51,21,NO,0,jiyugaoka,14,0,tokyu
16,0,15,0,40,0,NO,0,nakameguro,4,1,tokyu
18.4,0,7,0,70,4,NO,0,denenchofu,12,1,tokyu
17.5,0,5,0,77,17,YES,0,shin_kawasaki,12,0,jr
16,0,8,0,41,1,YES,1,gakugeidai,7,1,tokyu
9.3,5,6,0,21,0,YES,0,omori_kaigan,8,0,keikyu
